2026-04-22 19:07:28 | INFO | cla | step=380 | train/total_loss=3.0822, train/distill_loss=0.3141, train/cla_loss=2.7682, train/lr=0.0003
2026-04-22 19:07:55 | INFO | cla | step=390 | train/total_loss=3.6453, train/distill_loss=0.5433, train/cla_loss=3.1019, train/lr=0.0003
2026-04-22 19:08:21 | INFO | cla | step=400 | train/total_loss=4.2703, train/distill_loss=0.9853, train/cla_loss=3.2850, train/lr=0.0003
2026-04-22 19:08:57 | INFO | cla | step=400 | eval/total_loss=3.8252, eval/distill_loss=0.7519, eval/cla_loss=3.0733
2026-04-22 19:09:23 | INFO | cla | step=410 | train/total_loss=3.8566, train/distill_loss=0.9874, train/cla_loss=2.8692, train/lr=0.0003
2026-04-22 19:09:50 | INFO | cla | step=420 | train/total_loss=3.4468, train/distill_loss=0.6069, train/cla_loss=2.8399, train/lr=0.0003
2026-04-22 19:10:16 | INFO | cla | step=430 | train/total_loss=3.8911, train/distill_loss=0.9274, train/cla_loss=2.9637, train/lr=0.0003
2026-04-22 19:10:43 | INFO | cla | step=440 | train/total_loss=3.3360, train/distill_loss=0.5958, train/cla_loss=2.7402, train/lr=0.0003
2026-04-22 19:11:09 | INFO | cla | step=450 | train/total_loss=3.5371, train/distill_loss=1.0355, train/cla_loss=2.5016, train/lr=0.0003
2026-04-22 19:11:36 | INFO | cla | step=460 | train/total_loss=3.4361, train/distill_loss=0.3549, train/cla_loss=3.0811, train/lr=0.0003
2026-04-22 19:12:02 | INFO | cla | step=470 | train/total_loss=3.9015, train/distill_loss=0.7761, train/cla_loss=3.1253, train/lr=0.0003
2026-04-22 19:12:28 | INFO | cla | step=480 | train/total_loss=3.7329, train/distill_loss=0.5071, train/cla_loss=3.2258, train/lr=0.0003
2026-04-22 19:12:55 | INFO | cla | step=490 | train/total_loss=3.4633, train/distill_loss=0.4019, train/cla_loss=3.0614, train/lr=0.0003
2026-04-22 19:13:21 | INFO | cla | step=500 | train/total_loss=3.8892, train/distill_loss=0.8677, train/cla_loss=3.0215, train/lr=0.0002
2026-04-22 19:13:57 | INFO | cla | step=500 | eval/total_loss=3.7065, eval/distill_loss=0.6544, eval/cla_loss=3.0521
2026-04-22 19:14:23 | INFO | cla | step=510 | train/total_loss=3.0509, train/distill_loss=0.3614, train/cla_loss=2.6895, train/lr=0.0002
2026-04-22 19:14:49 | INFO | cla | step=520 | train/total_loss=2.9809, train/distill_loss=0.2382, train/cla_loss=2.7427, train/lr=0.0002
2026-04-22 19:15:16 | INFO | cla | step=530 | train/total_loss=3.6226, train/distill_loss=0.5588, train/cla_loss=3.0638, train/lr=0.0002
2026-04-22 19:15:42 | INFO | cla | step=540 | train/total_loss=3.4361, train/distill_loss=0.4355, train/cla_loss=3.0006, train/lr=0.0002
2026-04-22 19:16:08 | INFO | cla | step=550 | train/total_loss=3.8792, train/distill_loss=0.5901, train/cla_loss=3.2891, train/lr=0.0002
2026-04-22 19:16:34 | INFO | cla | step=560 | train/total_loss=3.5423, train/distill_loss=0.9941, train/cla_loss=2.5481, train/lr=0.0002
2026-04-22 19:17:19 | INFO | cla | step=564 | eval/total_loss=3.6281, eval/distill_loss=0.5869, eval/cla_loss=3.0412
2026-04-22 19:17:34 | INFO | cla | step=570 | train/total_loss=3.5372, train/distill_loss=0.4421, train/cla_loss=3.0951, train/lr=0.0002
2026-04-22 19:18:01 | INFO | cla | step=580 | train/total_loss=3.6890, train/distill_loss=0.6573, train/cla_loss=3.0316, train/lr=0.0002
2026-04-22 19:18:27 | INFO | cla | step=590 | train/total_loss=3.5501, train/distill_loss=0.6490, train/cla_loss=2.9011, train/lr=0.0002
2026-04-22 19:18:53 | INFO | cla | step=600 | train/total_loss=3.2525, train/distill_loss=0.5458, train/cla_loss=2.7066, train/lr=0.0002
2026-04-22 19:19:28 | INFO | cla | step=600 | eval/total_loss=3.6108, eval/distill_loss=0.5757, eval/cla_loss=3.0351
2026-04-22 19:19:55 | INFO | cla | step=610 | train/total_loss=3.5973, train/distill_loss=0.5462, train/cla_loss=3.0511, train/lr=0.0002
2026-04-22 19:20:21 | INFO | cla | step=620 | train/total_loss=3.0437, train/distill_loss=0.2444, train/cla_loss=2.7994, train/lr=0.0002
2026-04-22 19:20:47 | INFO | cla | step=630 | train/total_loss=3.3431, train/distill_loss=0.3956, train/cla_loss=2.9475, train/lr=0.0002
2026-04-22 19:21:14 | INFO | cla | step=640 | train/total_loss=3.5313, train/distill_loss=0.3075, train/cla_loss=3.2238, train/lr=0.0002
2026-04-22 19:21:40 | INFO | cla | step=650 | train/total_loss=3.5977, train/distill_loss=0.5213, train/cla_loss=3.0764, train/lr=0.0002
2026-04-22 19:22:06 | INFO | cla | step=660 | train/total_loss=3.9488, train/distill_loss=0.9724, train/cla_loss=2.9764, train/lr=0.0002
2026-04-22 19:22:33 | INFO | cla | step=670 | train/total_loss=3.1265, train/distill_loss=0.1639, train/cla_loss=2.9626, train/lr=0.0002
2026-04-22 19:22:59 | INFO | cla | step=680 | train/total_loss=3.1698, train/distill_loss=0.2798, train/cla_loss=2.8901, train/lr=0.0001
2026-04-22 19:23:25 | INFO | cla | step=690 | train/total_loss=3.3007, train/distill_loss=0.4739, train/cla_loss=2.8268, train/lr=0.0001
2026-04-22 19:23:51 | INFO | cla | step=700 | train/total_loss=4.0606, train/distill_loss=0.8527, train/cla_loss=3.2080, train/lr=0.0001
2026-04-22 19:24:27 | INFO | cla | step=700 | eval/total_loss=3.5497, eval/distill_loss=0.5243, eval/cla_loss=3.0254
2026-04-22 19:24:53 | INFO | cla | step=710 | train/total_loss=3.5437, train/distill_loss=0.2597, train/cla_loss=3.2840, train/lr=0.0001
2026-04-22 19:25:20 | INFO | cla | step=720 | train/total_loss=3.1722, train/distill_loss=0.2408, train/cla_loss=2.9314, train/lr=0.0001
2026-04-22 19:25:47 | INFO | cla | step=730 | train/total_loss=3.5863, train/distill_loss=0.4964, train/cla_loss=3.0899, train/lr=0.0001
2026-04-22 19:26:13 | INFO | cla | step=740 | train/total_loss=3.6229, train/distill_loss=0.4936, train/cla_loss=3.1293, train/lr=0.0001
2026-04-22 19:26:40 | INFO | cla | step=750 | train/total_loss=3.3858, train/distill_loss=0.4077, train/cla_loss=2.9781, train/lr=0.0001
2026-04-22 19:27:20 | INFO | cla | step=752 | eval/total_loss=3.5306, eval/distill_loss=0.5095, eval/cla_loss=3.0211
2026-04-22 19:27:41 | INFO | cla | step=760 | train/total_loss=3.4077, train/distill_loss=0.2653, train/cla_loss=3.1424, train/lr=0.0001
