2026-04-22 19:07:11 | INFO | cla | step=380 | train/total_loss=0.3449, train/distill_loss=0.3449, train/cla_loss=3.3493, train/lr=0.0003
2026-04-22 19:07:38 | INFO | cla | step=390 | train/total_loss=0.6607, train/distill_loss=0.6607, train/cla_loss=3.3926, train/lr=0.0003
2026-04-22 19:08:05 | INFO | cla | step=400 | train/total_loss=0.9817, train/distill_loss=0.9817, train/cla_loss=3.4411, train/lr=0.0003
2026-04-22 19:08:40 | INFO | cla | step=400 | eval/total_loss=0.7878, eval/distill_loss=0.7878, eval/cla_loss=3.3930
2026-04-22 19:09:07 | INFO | cla | step=410 | train/total_loss=0.9568, train/distill_loss=0.9568, train/cla_loss=3.3647, train/lr=0.0003
2026-04-22 19:09:34 | INFO | cla | step=420 | train/total_loss=0.7653, train/distill_loss=0.7653, train/cla_loss=3.3778, train/lr=0.0003
2026-04-22 19:10:01 | INFO | cla | step=430 | train/total_loss=0.9223, train/distill_loss=0.9223, train/cla_loss=3.3410, train/lr=0.0003
2026-04-22 19:10:28 | INFO | cla | step=440 | train/total_loss=0.6186, train/distill_loss=0.6186, train/cla_loss=3.3221, train/lr=0.0003
2026-04-22 19:10:54 | INFO | cla | step=450 | train/total_loss=0.9625, train/distill_loss=0.9625, train/cla_loss=3.2993, train/lr=0.0003
2026-04-22 19:11:21 | INFO | cla | step=460 | train/total_loss=0.3512, train/distill_loss=0.3512, train/cla_loss=3.3953, train/lr=0.0003
2026-04-22 19:11:48 | INFO | cla | step=470 | train/total_loss=0.7559, train/distill_loss=0.7559, train/cla_loss=3.4100, train/lr=0.0003
2026-04-22 19:12:15 | INFO | cla | step=480 | train/total_loss=0.5739, train/distill_loss=0.5739, train/cla_loss=3.4313, train/lr=0.0003
2026-04-22 19:12:42 | INFO | cla | step=490 | train/total_loss=0.5893, train/distill_loss=0.5893, train/cla_loss=3.4036, train/lr=0.0003
2026-04-22 19:13:08 | INFO | cla | step=500 | train/total_loss=0.8815, train/distill_loss=0.8815, train/cla_loss=3.3806, train/lr=0.0002
2026-04-22 19:13:44 | INFO | cla | step=500 | eval/total_loss=0.6688, eval/distill_loss=0.6688, eval/cla_loss=3.3985
2026-04-22 19:14:11 | INFO | cla | step=510 | train/total_loss=0.3892, train/distill_loss=0.3892, train/cla_loss=3.3124, train/lr=0.0002
2026-04-22 19:14:37 | INFO | cla | step=520 | train/total_loss=0.2174, train/distill_loss=0.2174, train/cla_loss=3.3501, train/lr=0.0002
2026-04-22 19:15:04 | INFO | cla | step=530 | train/total_loss=0.5969, train/distill_loss=0.5969, train/cla_loss=3.3821, train/lr=0.0002
2026-04-22 19:15:31 | INFO | cla | step=540 | train/total_loss=0.5349, train/distill_loss=0.5349, train/cla_loss=3.3722, train/lr=0.0002
2026-04-22 19:15:58 | INFO | cla | step=550 | train/total_loss=0.6536, train/distill_loss=0.6536, train/cla_loss=3.4410, train/lr=0.0002
2026-04-22 19:16:25 | INFO | cla | step=560 | train/total_loss=1.0023, train/distill_loss=1.0023, train/cla_loss=3.3404, train/lr=0.0002
2026-04-22 19:17:09 | INFO | cla | step=564 | eval/total_loss=0.6245, eval/distill_loss=0.6245, eval/cla_loss=3.3914
2026-04-22 19:17:25 | INFO | cla | step=570 | train/total_loss=0.4959, train/distill_loss=0.4959, train/cla_loss=3.4013, train/lr=0.0002
2026-04-22 19:17:52 | INFO | cla | step=580 | train/total_loss=0.6960, train/distill_loss=0.6960, train/cla_loss=3.3965, train/lr=0.0002
2026-04-22 19:18:19 | INFO | cla | step=590 | train/total_loss=0.7539, train/distill_loss=0.7539, train/cla_loss=3.3683, train/lr=0.0002
2026-04-22 19:18:45 | INFO | cla | step=600 | train/total_loss=0.6639, train/distill_loss=0.6639, train/cla_loss=3.3029, train/lr=0.0002
2026-04-22 19:19:20 | INFO | cla | step=600 | eval/total_loss=0.5834, eval/distill_loss=0.5834, eval/cla_loss=3.3913
2026-04-22 19:19:47 | INFO | cla | step=610 | train/total_loss=0.4591, train/distill_loss=0.4591, train/cla_loss=3.3868, train/lr=0.0002
2026-04-22 19:20:13 | INFO | cla | step=620 | train/total_loss=0.2830, train/distill_loss=0.2830, train/cla_loss=3.3428, train/lr=0.0002
2026-04-22 19:20:40 | INFO | cla | step=630 | train/total_loss=0.4347, train/distill_loss=0.4347, train/cla_loss=3.3787, train/lr=0.0002
2026-04-22 19:21:07 | INFO | cla | step=640 | train/total_loss=0.3124, train/distill_loss=0.3124, train/cla_loss=3.4295, train/lr=0.0002
2026-04-22 19:21:33 | INFO | cla | step=650 | train/total_loss=0.4865, train/distill_loss=0.4865, train/cla_loss=3.3901, train/lr=0.0002
2026-04-22 19:22:00 | INFO | cla | step=660 | train/total_loss=0.9714, train/distill_loss=0.9714, train/cla_loss=3.3811, train/lr=0.0002
2026-04-22 19:22:26 | INFO | cla | step=670 | train/total_loss=0.2120, train/distill_loss=0.2120, train/cla_loss=3.3560, train/lr=0.0002
2026-04-22 19:22:53 | INFO | cla | step=680 | train/total_loss=0.3053, train/distill_loss=0.3053, train/cla_loss=3.3616, train/lr=0.0001
2026-04-22 19:23:19 | INFO | cla | step=690 | train/total_loss=0.5458, train/distill_loss=0.5458, train/cla_loss=3.3564, train/lr=0.0001
2026-04-22 19:23:46 | INFO | cla | step=700 | train/total_loss=0.7576, train/distill_loss=0.7576, train/cla_loss=3.4210, train/lr=0.0001
2026-04-22 19:24:21 | INFO | cla | step=700 | eval/total_loss=0.5307, eval/distill_loss=0.5307, eval/cla_loss=3.3915
2026-04-22 19:24:47 | INFO | cla | step=710 | train/total_loss=0.3154, train/distill_loss=0.3154, train/cla_loss=3.4206, train/lr=0.0001
2026-04-22 19:25:14 | INFO | cla | step=720 | train/total_loss=0.2423, train/distill_loss=0.2423, train/cla_loss=3.3641, train/lr=0.0001
2026-04-22 19:25:40 | INFO | cla | step=730 | train/total_loss=0.4615, train/distill_loss=0.4615, train/cla_loss=3.4148, train/lr=0.0001
2026-04-22 19:26:06 | INFO | cla | step=740 | train/total_loss=0.4137, train/distill_loss=0.4137, train/cla_loss=3.4121, train/lr=0.0001
2026-04-22 19:26:33 | INFO | cla | step=750 | train/total_loss=0.4063, train/distill_loss=0.4063, train/cla_loss=3.3734, train/lr=0.0001
2026-04-22 19:27:12 | INFO | cla | step=752 | eval/total_loss=0.5162, eval/distill_loss=0.5162, eval/cla_loss=3.3856
2026-04-22 19:27:33 | INFO | cla | step=760 | train/total_loss=0.2784, train/distill_loss=0.2784, train/cla_loss=3.4113, train/lr=0.0001
2026-04-22 19:28:00 | INFO | cla | step=770 | train/total_loss=0.3635, train/distill_loss=0.3635, train/cla_loss=3.3196, train/lr=0.0001
2026-04-22 19:28:26 | INFO | cla | step=780 | train/total_loss=0.2562, train/distill_loss=0.2562, train/cla_loss=3.3506, train/lr=0.0001
